California Institute of Technology (Pasadena, CA): 3:1
Swarthmore College (Swarthmore, PA): 8:1
The American University of Paris (Paris, FR): 8:1
The New School College of Performing Arts (New York, NY): 8:1
Tulane University (New Orleans, LA): 8:1
United States Naval Academy (Annapolis, MD): 8:1
University of Alaska Fairbanks (Fairbanks, AK): 8:1
University of Richmond (University of Richmond, VA): 8:1
University of Saint Joseph (West Hartford, CT): 8:1
Ursuline College (Pepper Pike, OH): 8:1
Vassar College (Poughkeepsie, NY): 8:1
Washington and Lee University (Lexington, VA): 8:1
Wayland Baptist University (Plainview, TX): 8:1
Webster University (St. Louis, MO): 8:1
Welch College (Gallatin, TN): 8:1
Wellesley College (Wellesley, MA): 8:1
Wesleyan College (Macon, GA): 8:1
Wesleyan University (Middletown, CT): 8:1
Westminster College (Salt Lake City, UT): 8:1
Albany College of Pharmacy and Health Sciences (Albany, NY): 9:1
Alverno College (Milwaukee, WI): 9:1
Arlington Baptist University (Arlington, TX): 9:1
Art Center College of Design (Pasadena, CA): 9:1
Barnard College (New York, NY): 9:1
Bennington College (Bennington, VT): 9:1
Bethany College (Bethany, WV): 9:1
Bowdoin College (Brunswick, ME): 9:1
Brenau University (Gainesville, GA): 9:1
Bryn Mawr College (Bryn Mawr, PA): 9:1
Bucknell University (Lewisburg, PA): 9:1
Carleton College (Northfield, MN): 9:1
Centenary College of Louisiana (Shreveport, LA): 9:1
Clarke University (Dubuque, IA): 9:1
Colgate University (Hamilton, NY): 9:1
College of the Atlantic (Bar Harbor, ME): 9:1
Columbia College (Columbia, MO): 9:1
Columbus College of Art and Design (Columbus, OH): 9:1
Connecticut College (New London, CT): 9:1
Cornell University (Ithaca, NY): 9:1
D'Youville College (Buffalo, NY): 9:1
Davidson College (Davidson, NC): 9:1
DePauw University (Greencastle, IN): 9:1
Denison University (Granville, OH): 9:1
Dickinson College (Carlisle, PA): 9:1
Dominican University of California (San Rafael, CA): 9:1
Eastern Mennonite University (Harrisonburg, VA): 9:1
Emmaus Bible College (Dubuque, IA): 9:1
Emory University (Atlanta, GA): 9:1
Franklin & Marshall College (Lancaster, PA): 9:1
Franklin University Switzerland (Sorengo (Lugano), SW): 9:1
Gettysburg College (Gettysburg, PA): 9:1
Grinnell College (Grinnell, IA): 9:1
Hamilton College (Clinton, NY): 9:1
Haverford College (Haverford, PA): 9:1
Hellenic College (Brookline, MA): 9:1
Hillsdale College (Hillsdale, MI): 9:1
Immaculata University (Immaculata, PA): 9:1
Kansas City Art Institute (Kansas City, MO): 9:1
Lehigh University (Bethlehem, PA): 9:1
Linfield College (McMinnville, OR): 9:1
Marian University Wisconsin (Fond du Lac, WI): 9:1
Marietta College (Marietta, OH): 9:1
Maryland Institute College of Art (Baltimore, MD): 9:1
Massachusetts College of Art and Design (Boston, MA): 9:1
Mercy College of Health Sciences (Des Moines, IA): 9:1
MidAmerica Nazarene University (Olathe, KS): 9:1
Millsaps College (Jackson, MS): 9:1
Mount Holyoke College (South Hadley, MA): 9:1
Naropa University (Boulder, CO): 9:1
New York University (New York, NY): 9:1
Occidental College (Los Angeles, CA): 9:1
Ohio Valley University (Vienna, WV): 9:1
Ohio Wesleyan University (Delaware, OH): 9:1
Pennsylvania State University &#8212; Greater Allegheny (McKeesport, PA): 9:1
Pennsylvania State University &#8212; Mont Alto (Mont Alto, PA): 9:1
Pratt Institute (Brooklyn, NY): 9:1
Randolph College (Lynchburg, VA): 9:1
SAGU American Indian College (Phoenix, AZ): 9:1
Saint Louis University (St. Louis, MO): 9:1
Saint Mary's College (Notre Dame, IN): 9:1
San Francisco Art Institute (San Francisco, CA): 9:1
Sarah Lawrence College (Bronxville, NY): 9:1
St. Joseph's College &#8212; Brooklyn (Brooklyn, NY): 9:1
St. Louis College of Pharmacy (St. Louis, MO): 9:1
St. Mary&#8211;of&#8211;the&#8211;Woods College (Saint Mary of the Woods, IN): 9:1
The College of Idaho (Caldwell, ID): 9:1
The University of the Arts (Philadelphia, PA): 9:1
Tougaloo College (Tougaloo, MS): 9:1
Trinity College (Hartford, CT): 9:1
Trinity College of Florida (Trinity, FL): 9:1
Trinity University (San Antonio, TX): 9:1
Tufts University (Medford, MA): 9:1
Union College (Lincoln, NE): 9:1
Union University (Jackson, TN): 9:1
United States Air Force Academy (USAF Academy, CO): 9:1
University of Alaska, Southeast (Juneau, AK): 9:1
University of Hartford (West Hartford, CT): 9:1
University of Southern California (Los Angeles, CA): 9:1
Warner Pacific University (Portland, OR): 9:1
Watkins College of Art (Nashville, TN): 9:1
Webb Institute (Glen Cove, NY): 9:1
Wells College (Aurora, NY): 9:1
Whitman College (Walla Walla, WA): 9:1
Woodbury University (Burbank, CA): 9:1
Agnes Scott College (Decatur, GA): 10:1
Alfred University (Alfred, NY): 10:1
Allen College (Waterloo, IA): 10:1
American Baptist College (Nashville, TN): 10:1
Anderson University (Anderson, IN): 10:1
Andrews University (Berrien Springs, MI): 10:1
Aquinas College (Grand Rapids, MI): 10:1
Art Academy of Cincinnati (Cincinnati, OH): 10:1
Baptist College of Health Sciences (Memphis, TN): 10:1
Bard College (Annandale-on-Hudson, NY): 10:1
Bates College (Lewiston, ME): 10:1
Bennett College (Greensboro, NC): 10:1
Berea College (Berea, KY): 10:1
Berklee College of Music (Boston, MA): 10:1
Bethel College (North Newton, KS): 10:1
Blessing&#8211;Rieman College of Nursing (Quincy, IL): 10:1
Boston University (Boston, MA): 10:1
Brandeis University (Waltham, MA): 10:1
Calvary University (Kansas City, MO): 10:1
Cardinal Stritch University (Milwaukee, WI): 10:1
Cazenovia College (Cazenovia, NY): 10:1
Cedar Crest College (Allentown, PA): 10:1
Centre College (Danville, KY): 10:1
Chamberlain University &#8212; Columbus (Columbus, OH): 10:1
Chamberlain University &#8212; Phoenix (Phoenix, AZ): 10:1
Chatham University (Pittsburgh, PA): 10:1
Chestnut Hill College (Philadelphia, PA): 10:1
Clark University (Worcester, MA): 10:1
College of St. Mary (Omaha, NE): 10:1
College of the Holy Cross (Worcester, MA): 10:1
Colorado College (Colorado Springs, CO): 10:1
Concordia University (Ann Arbor, MI): 10:1
Concordia University &#8212; Chicago (River Forest, IL): 10:1
Dominican University (River Forest, IL): 10:1
Drake University (Des Moines, IA): 10:1
Earlham College (Richmond, IN): 10:1
Eastern University (St. Davids, PA): 10:1
Edgewood College (Madison, WI): 10:1
Emory & Henry College (Emory, VA): 10:1
Fontbonne University (St. Louis, MO): 10:1
Friends University (Wichita, KS): 10:1
Furman University (Greenville, SC): 10:1
Goldfarb School of Nursing at Barnes&#8211;Jewish College (St. Louis, MO): 10:1
Goucher College (Baltimore, MD): 10:1
Governors State University (University Park, IL): 10:1
Gwynedd Mercy University (Gwynedd Valley, PA): 10:1
Hampshire College (Amherst, MA): 10:1
Hartwick College (Oneonta, NY): 10:1
Hiram College (Hiram, OH): 10:1
Hobart and William Smith Colleges (Geneva, NY): 10:1
Hollins University (Roanoke, VA): 10:1
Hood College (Frederick, MD): 10:1
Howard Payne University (Brownwood, TX): 10:1
Indiana Wesleyan University (Marion, IN): 10:1
John Cabot University (Rome, IT): 10:1
Johnson University (Knoxville, TN): 10:1
Johnson University Florida (Kissimmee, FL): 10:1
Juniata College (Huntingdon, PA): 10:1
Kentucky State University (Frankfort, KY): 10:1
Kenyon College (Gambier, OH): 10:1
Lafayette College (Easton, PA): 10:1
Lebanon Valley College (Annville, PA): 10:1
Lesley University (Cambridge, MA): 10:1
Loyola Marymount University (Los Angeles, CA): 10:1
Macalester College (St. Paul, MN): 10:1
Manhattanville College (Purchase, NY): 10:1
Mary Baldwin University (Staunton, VA): 10:1
Marymount Manhattan College (New York, NY): 10:1
Methodist University (Fayetteville, NC): 10:1
Mid&#8211;Atlantic Christian University (Elizabeth City, NC): 10:1
Milligan College (Milligan College, TN): 10:1
Millikin University (Decatur, IL): 10:1
Molloy College (Rockville Centre, NY): 10:1
Monmouth College (Monmouth, IL): 10:1
Muhlenberg College (Allentown, PA): 10:1
Nazareth College of Rochester (Rochester, NY): 10:1
Oberlin College (Oberlin, OH): 10:1
Oklahoma City University (Oklahoma City, OK): 10:1
Pacific Union College (Angwin, CA): 10:1
Parsons The New School for Design (New York, NY): 10:1
Patrick Henry College (Purcellville, VA): 10:1
Pennsylvania State University &#8212; Wilkes&#8211;Barre Campus (Lehman, PA): 10:1
Piedmont College (Demorest, GA): 10:1
Pitzer College (Claremont, CA): 10:1
Prescott College (Prescott, AZ): 10:1
Queens University of Charlotte (Charlotte, NC): 10:1
Reed College (Portland, OR): 10:1
Rhode Island School of Design (Providence, RI): 10:1
Rhodes College (Memphis, TN): 10:1
Rider University (Lawrenceville, NJ): 10:1
Rochester University (Rochester Hills, MI): 10:1
Rockford University (Rockford, IL): 10:1
Rollins College (Winter Park, FL): 10:1
Russell Sage College (Troy, NY): 10:1
Salish Kootenai College (Pablo, MT): 10:1
Santa Clara University (Santa Clara, CA): 10:1
School of the Art Institute of Chicago (Chicago, IL): 10:1
Scripps College (Claremont, CA): 10:1
Shenandoah University (Winchester, VA): 10:1
Sierra Nevada College (Incline Village, NV): 10:1
Simpson College (Indianola, IA): 10:1
St. Francis Medical Center College of Nursing (Peoria, IL): 10:1
St. Mary's College of Maryland (St. Mary's City, MD): 10:1
Stevens Institute of Technology (Hoboken, NJ): 10:1
The American University in Cairo (New Cairo, EG): 10:1
The Master's University and Seminary (Santa Clarita, CA): 10:1
The University of the South (Sewanee, TN): 10:1
Trinity Christian College (Palos Heights, IL): 10:1
Union College (Schenectady, NY): 10:1
Union Institute & University (Cincinnati, OH): 10:1
University of Detroit Mercy (Detroit, MI): 10:1
University of Dubuque (Dubuque, IA): 10:1
University of Hawaii at Manoa (Honolulu, HI): 10:1
University of Jamestown (Jamestown, ND): 10:1
University of Notre Dame (Notre Dame, IN): 10:1
University of Providence (Great Falls, MT): 10:1
University of Saint Francis (Fort Wayne, IN): 10:1
University of Valley Forge (Phoenixville, PA): 10:1
Ursinus College (Collegeville, PA): 10:1
Virginia Military Institute (Lexington, VA): 10:1
Wabash College (Crawfordsville, IN): 10:1
Wake Forest University (Winston-Salem, NC): 10:1
Washington College (Chestertown, MD): 10:1
Wheaton College (Wheaton, IL): 10:1
William Jewell College (Liberty, MO): 10:1
William Woods University (Fulton, MO): 10:1
Wilson College (Chambersburg, PA): 10:1
Wofford College (Spartanburg, SC): 10:1
